Name,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Preplanner,Replanner
scenario_13,0,1,8,60,10,1,100,3.0,fibonacci,10000,0.2,fifo,acbba
scenario_13,0,1,8,60,10,1,100,3.0,fibonacci,10000,0.2,fifo,none
scenario_13,0,1,8,60,10,1,100,3.0,fibonacci,10000,0.2,nadir,acbba
scenario_13,0,1,8,60,10,1,100,3.0,fibonacci,10000,0.2,nadir,none
scenario_14,1,2,4,60,10,1,10,0.25,hydrolakes,100,1.0,fifo,acbba
scenario_14,1,2,4,60,10,1,10,0.25,hydrolakes,100,1.0,fifo,none
scenario_14,1,2,4,60,10,1,10,0.25,hydrolakes,100,1.0,nadir,acbba
scenario_14,1,2,4,60,10,1,10,0.25,hydrolakes,100,1.0,nadir,none
scenario_15,2,3,4,30,1,1,10,6.0,uniform,1000,0.2,fifo,acbba
scenario_15,2,3,4,30,1,1,10,6.0,uniform,1000,0.2,fifo,none
scenario_15,2,3,4,30,1,1,10,6.0,uniform,1000,0.2,nadir,acbba
scenario_15,2,3,4,30,1,1,10,6.0,uniform,1000,0.2,nadir,none
scenario_16,3,8,3,60,10,10,100,1.0,uniform,5000,1.0,fifo,acbba
scenario_16,3,8,3,60,10,10,100,1.0,uniform,5000,1.0,fifo,none
scenario_16,3,8,3,60,10,10,100,1.0,uniform,5000,1.0,nadir,acbba
scenario_16,3,8,3,60,10,10,100,1.0,uniform,5000,1.0,nadir,none
scenario_17,2,3,4,60,1,10,1000,1.0,uniform,5000,0.25,fifo,acbba
scenario_17,2,3,4,60,1,10,1000,1.0,uniform,5000,0.25,fifo,none
scenario_17,2,3,4,60,1,10,1000,1.0,uniform,5000,0.25,nadir,acbba
scenario_17,2,3,4,60,1,10,1000,1.0,uniform,5000,0.25,nadir,none
scenario_18,2,3,4,30,1,10,10000,0.25,uniform,10000,0.25,fifo,acbba
scenario_18,2,3,4,30,1,10,10000,0.25,uniform,10000,0.25,fifo,none
scenario_18,2,3,4,30,1,10,10000,0.25,uniform,10000,0.25,nadir,acbba
scenario_18,2,3,4,30,1,10,10000,0.25,uniform,10000,0.25,nadir,none
scenario_19,3,8,3,30,10,1,10000,0.25,fibonacci,10000,0.2,fifo,acbba
scenario_19,3,8,3,30,10,1,10000,0.25,fibonacci,10000,0.2,fifo,none
scenario_19,3,8,3,30,10,1,10000,0.25,fibonacci,10000,0.2,nadir,acbba
scenario_19,3,8,3,30,10,1,10000,0.25,fibonacci,10000,0.2,nadir,none
scenario_20,2,3,4,30,10,1,1000,0.25,fibonacci,10000,0.25,fifo,acbba
scenario_20,2,3,4,30,10,1,1000,0.25,fibonacci,10000,0.25,fifo,none
scenario_20,2,3,4,30,10,1,1000,0.25,fibonacci,10000,0.25,nadir,acbba
scenario_20,2,3,4,30,10,1,1000,0.25,fibonacci,10000,0.25,nadir,none
scenario_21,1,2,4,30,10,10,10000,1.0,hydrolakes,1000,1.0,fifo,acbba
scenario_21,1,2,4,30,10,10,10000,1.0,hydrolakes,1000,1.0,fifo,none
scenario_21,1,2,4,30,10,10,10000,1.0,hydrolakes,1000,1.0,nadir,acbba
scenario_21,1,2,4,30,10,10,10000,1.0,hydrolakes,1000,1.0,nadir,none
scenario_22,1,2,4,30,10,1,10,0.25,uniform,10000,0.3333333333333333,fifo,acbba
scenario_22,1,2,4,30,10,1,10,0.25,uniform,10000,0.3333333333333333,fifo,none
scenario_22,1,2,4,30,10,1,10,0.25,uniform,10000,0.3333333333333333,nadir,acbba
scenario_22,1,2,4,30,10,1,10,0.25,uniform,10000,0.3333333333333333,nadir,none
scenario_23,1,2,4,60,1,10,1000,1.0,fibonacci,10000,0.25,fifo,acbba
scenario_23,1,2,4,60,1,10,1000,1.0,fibonacci,10000,0.25,fifo,none
scenario_23,1,2,4,60,1,10,1000,1.0,fibonacci,10000,0.25,nadir,acbba
scenario_23,1,2,4,60,1,10,1000,1.0,fibonacci,10000,0.25,nadir,none
scenario_24,3,8,3,60,10,1,1000,3.0,fibonacci,10000,0.5,fifo,acbba
scenario_24,3,8,3,60,10,1,1000,3.0,fibonacci,10000,0.5,fifo,none
scenario_24,3,8,3,60,10,1,1000,3.0,fibonacci,10000,0.5,nadir,acbba
scenario_24,3,8,3,60,10,1,1000,3.0,fibonacci,10000,0.5,nadir,none
scenario_25,1,2,4,30,10,10,10,1.0,fibonacci,5000,0.25,fifo,acbba
scenario_25,1,2,4,30,10,10,10,1.0,fibonacci,5000,0.25,fifo,none
scenario_25,1,2,4,30,10,10,10,1.0,fibonacci,5000,0.25,nadir,acbba
scenario_25,1,2,4,30,10,10,10,1.0,fibonacci,5000,0.25,nadir,none
scenario_26,0,1,8,30,10,1,100,6.0,hydrolakes,1000,0.3333333333333333,fifo,acbba
scenario_26,0,1,8,30,10,1,100,6.0,hydrolakes,1000,0.3333333333333333,fifo,none
scenario_26,0,1,8,30,10,1,100,6.0,hydrolakes,1000,0.3333333333333333,nadir,acbba
scenario_26,0,1,8,30,10,1,100,6.0,hydrolakes,1000,0.3333333333333333,nadir,none
scenario_27,0,1,8,30,10,10,10,0.25,uniform,5000,0.25,fifo,acbba
scenario_27,0,1,8,30,10,10,10,0.25,uniform,5000,0.25,fifo,none
scenario_27,0,1,8,30,10,10,10,0.25,uniform,5000,0.25,nadir,acbba
scenario_27,0,1,8,30,10,10,10,0.25,uniform,5000,0.25,nadir,none
scenario_28,2,3,4,30,1,10,100,3.0,hydrolakes,1000,0.2,fifo,acbba
scenario_28,2,3,4,30,1,10,100,3.0,hydrolakes,1000,0.2,fifo,none
scenario_28,2,3,4,30,1,10,100,3.0,hydrolakes,1000,0.2,nadir,acbba
scenario_28,2,3,4,30,1,10,100,3.0,hydrolakes,1000,0.2,nadir,none
scenario_29,3,8,3,60,1,1,100,0.25,fibonacci,1000,0.3333333333333333,fifo,acbba
scenario_29,3,8,3,60,1,1,100,0.25,fibonacci,1000,0.3333333333333333,fifo,none
scenario_29,3,8,3,60,1,1,100,0.25,fibonacci,1000,0.3333333333333333,nadir,acbba
scenario_29,3,8,3,60,1,1,100,0.25,fibonacci,1000,0.3333333333333333,nadir,none
scenario_30,1,2,4,60,1,10,10,3.0,fibonacci,5000,0.3333333333333333,fifo,acbba
scenario_30,1,2,4,60,1,10,10,3.0,fibonacci,5000,0.3333333333333333,fifo,none
scenario_30,1,2,4,60,1,10,10,3.0,fibonacci,5000,0.3333333333333333,nadir,acbba
scenario_30,1,2,4,60,1,10,10,3.0,fibonacci,5000,0.3333333333333333,nadir,none
scenario_31,2,3,4,30,10,10,100,1.0,uniform,100,0.2,fifo,acbba
scenario_31,2,3,4,30,10,10,100,1.0,uniform,100,0.2,fifo,none
scenario_31,2,3,4,30,10,10,100,1.0,uniform,100,0.2,nadir,acbba
scenario_31,2,3,4,30,10,10,100,1.0,uniform,100,0.2,nadir,none
scenario_32,1,2,4,60,1,10,100,6.0,fibonacci,100,0.25,fifo,acbba
scenario_32,1,2,4,60,1,10,100,6.0,fibonacci,100,0.25,fifo,none
scenario_32,1,2,4,60,1,10,100,6.0,fibonacci,100,0.25,nadir,acbba
scenario_32,1,2,4,60,1,10,100,6.0,fibonacci,100,0.25,nadir,none
scenario_33,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,fifo,acbba
scenario_33,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,fifo,none
scenario_33,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,nadir,acbba
scenario_33,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,nadir,none
scenario_34,2,3,4,60,1,10,1000,1.0,hydrolakes,5000,0.5,fifo,acbba
scenario_34,2,3,4,60,1,10,1000,1.0,hydrolakes,5000,0.5,fifo,none
scenario_34,2,3,4,60,1,10,1000,1.0,hydrolakes,5000,0.5,nadir,acbba
scenario_34,2,3,4,60,1,10,1000,1.0,hydrolakes,5000,0.5,nadir,none
scenario_35,3,8,3,30,1,1,10000,3.0,hydrolakes,5000,0.5,fifo,acbba
scenario_35,3,8,3,30,1,1,10000,3.0,hydrolakes,5000,0.5,fifo,none
scenario_35,3,8,3,30,1,1,10000,3.0,hydrolakes,5000,0.5,nadir,acbba
scenario_35,3,8,3,30,1,1,10000,3.0,hydrolakes,5000,0.5,nadir,none
scenario_36,0,1,8,30,1,1,10,6.0,hydrolakes,5000,0.2,fifo,acbba
scenario_36,0,1,8,30,1,1,10,6.0,hydrolakes,5000,0.2,fifo,none
scenario_36,0,1,8,30,1,1,10,6.0,hydrolakes,5000,0.2,nadir,acbba
scenario_36,0,1,8,30,1,1,10,6.0,hydrolakes,5000,0.2,nadir,none
scenario_37,1,2,4,60,10,10,1000,6.0,uniform,1000,0.2,fifo,acbba
scenario_37,1,2,4,60,10,10,1000,6.0,uniform,1000,0.2,fifo,none
scenario_37,1,2,4,60,10,10,1000,6.0,uniform,1000,0.2,nadir,acbba
scenario_37,1,2,4,60,10,10,1000,6.0,uniform,1000,0.2,nadir,none
scenario_38,1,2,4,60,10,10,100,6.0,uniform,100,0.5,fifo,acbba
scenario_38,1,2,4,60,10,10,100,6.0,uniform,100,0.5,fifo,none
scenario_38,1,2,4,60,10,10,100,6.0,uniform,100,0.5,nadir,acbba
scenario_38,1,2,4,60,10,10,100,6.0,uniform,100,0.5,nadir,none
scenario_39,3,8,3,30,10,10,100,1.0,hydrolakes,1000,0.2,fifo,acbba
scenario_39,3,8,3,30,10,10,100,1.0,hydrolakes,1000,0.2,fifo,none
scenario_39,3,8,3,30,10,10,100,1.0,hydrolakes,1000,0.2,nadir,acbba
scenario_39,3,8,3,30,10,10,100,1.0,hydrolakes,1000,0.2,nadir,none
scenario_40,2,3,4,30,10,10,100,3.0,uniform,5000,0.5,fifo,acbba
scenario_40,2,3,4,30,10,10,100,3.0,uniform,5000,0.5,fifo,none
scenario_40,2,3,4,30,10,10,100,3.0,uniform,5000,0.5,nadir,acbba
scenario_40,2,3,4,30,10,10,100,3.0,uniform,5000,0.5,nadir,none
scenario_41,2,3,4,60,1,10,10000,0.25,uniform,5000,0.5,fifo,acbba
scenario_41,2,3,4,60,1,10,10000,0.25,uniform,5000,0.5,fifo,none
scenario_41,2,3,4,60,1,10,10000,0.25,uniform,5000,0.5,nadir,acbba
scenario_41,2,3,4,60,1,10,10000,0.25,uniform,5000,0.5,nadir,none
scenario_42,0,1,8,60,1,1,10,0.25,fibonacci,100,1.0,fifo,acbba
scenario_42,0,1,8,60,1,1,10,0.25,fibonacci,100,1.0,fifo,none
scenario_42,0,1,8,60,1,1,10,0.25,fibonacci,100,1.0,nadir,acbba
scenario_42,0,1,8,60,1,1,10,0.25,fibonacci,100,1.0,nadir,none
scenario_43,3,8,3,30,10,10,10,1.0,hydrolakes,5000,1.0,fifo,acbba
scenario_43,3,8,3,30,10,10,10,1.0,hydrolakes,5000,1.0,fifo,none
scenario_43,3,8,3,30,10,10,10,1.0,hydrolakes,5000,1.0,nadir,acbba
scenario_43,3,8,3,30,10,10,10,1.0,hydrolakes,5000,1.0,nadir,none
scenario_44,0,1,8,30,1,10,10,1.0,fibonacci,10000,1.0,fifo,acbba
scenario_44,0,1,8,30,1,10,10,1.0,fibonacci,10000,1.0,fifo,none
scenario_44,0,1,8,30,1,10,10,1.0,fibonacci,10000,1.0,nadir,acbba
scenario_44,0,1,8,30,1,10,10,1.0,fibonacci,10000,1.0,nadir,none
scenario_45,2,3,4,30,10,10,1000,0.25,hydrolakes,1000,0.2,fifo,acbba
scenario_45,2,3,4,30,10,10,1000,0.25,hydrolakes,1000,0.2,fifo,none
scenario_45,2,3,4,30,10,10,1000,0.25,hydrolakes,1000,0.2,nadir,acbba
scenario_45,2,3,4,30,10,10,1000,0.25,hydrolakes,1000,0.2,nadir,none
scenario_46,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,fifo,acbba
scenario_46,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,fifo,none
scenario_46,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,nadir,acbba
scenario_46,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,nadir,none
