Name,Scenario ID,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Preplanner,Replanner
scenario_heuristic-none_29,29,1,2,4,60,1,1,10000,0.25,fibonacci,5000,1,heuristic,none
scenario_heuristic-none_30,30,3,8,3,30,10,1,1000,3.0,hydrolakes,5000,1,heuristic,none
scenario_heuristic-none_31,31,3,8,3,60,1,1,1000,6.0,fibonacci,5000,1,heuristic,none
scenario_heuristic-none_32,32,0,1,8,60,1,1,100,3.0,hydrolakes,1000,1,heuristic,none
scenario_heuristic-none_33,33,3,8,3,30,1,10,1000,3.0,inland,5000,1,heuristic,none
scenario_heuristic-none_34,34,0,1,8,60,1,1,10000,0.25,inland,5000,1,heuristic,none
scenario_heuristic-none_35,35,1,2,4,30,10,10,10000,6.0,fibonacci,10000,1,heuristic,none
scenario_heuristic-none_36,36,2,3,4,60,10,10,100,1.0,fibonacci,10000,1,heuristic,none
scenario_heuristic-none_37,37,2,3,4,30,1,10,10000,1.0,fibonacci,2500,1,heuristic,none
scenario_heuristic-none_38,38,2,3,4,30,1,10,1000,1.0,hydrolakes,2500,1,heuristic,none
scenario_heuristic-none_39,39,0,1,8,60,1,10,100,1.0,inland,10000,1,heuristic,none
scenario_heuristic-none_40,40,2,3,4,60,10,1,100,0.25,inland,5000,1,heuristic,none
scenario_heuristic-none_41,41,1,2,4,30,10,1,1000,0.25,fibonacci,5000,1,heuristic,none
scenario_heuristic-none_42,42,3,8,3,60,10,1,100,6.0,hydrolakes,5000,1,heuristic,none
scenario_heuristic-broadcaster_0,0,0,1,8,60,10,10,100,1.0,fibonacci,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_1,1,1,2,4,30,10,1,100,6.0,inland,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_2,2,0,1,8,30,10,1,1000,1.0,fibonacci,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_3,3,2,3,4,60,10,10,10000,3.0,inland,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_4,4,2,3,4,30,1,10,100,0.25,hydrolakes,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_5,5,0,1,8,60,10,10,10000,3.0,hydrolakes,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_6,6,2,3,4,30,1,10,1000,6.0,inland,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_7,7,0,1,8,60,10,1,100,0.25,inland,10000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_8,8,3,8,3,60,10,10,10000,3.0,fibonacci,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_9,9,1,2,4,30,1,10,1000,6.0,hydrolakes,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_10,10,1,2,4,60,1,10,100,1.0,inland,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_11,11,3,8,3,60,10,10,1000,0.25,fibonacci,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_12,12,3,8,3,60,10,1,10000,1.0,fibonacci,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_13,13,1,2,4,30,1,10,10000,3.0,inland,10000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_14,14,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_15,15,0,1,8,30,10,1,10000,6.0,inland,10000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_16,16,3,8,3,30,10,1,10000,3.0,fibonacci,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_17,17,2,3,4,30,10,1,1000,6.0,hydrolakes,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_18,18,1,2,4,30,1,1,10000,0.25,inland,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_19,19,3,8,3,30,10,1,1000,1.0,fibonacci,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_20,20,1,2,4,30,1,1,100,1.0,hydrolakes,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_21,21,0,1,8,60,1,10,1000,0.25,fibonacci,10000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_22,22,3,8,3,60,10,10,1000,6.0,hydrolakes,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_23,23,3,8,3,60,10,1,10000,1.0,fibonacci,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_24,24,2,3,4,60,1,10,100,0.25,hydrolakes,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_25,25,2,3,4,30,1,1,10000,6.0,inland,10000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_26,26,0,1,8,60,1,10,1000,1.0,inland,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_27,27,2,3,4,30,1,10,100,0.25,inland,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_28,28,0,1,8,30,1,1,1000,6.0,hydrolakes,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_29,29,1,2,4,60,1,1,10000,0.25,fibonacci,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_30,30,3,8,3,30,10,1,1000,3.0,hydrolakes,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_31,31,3,8,3,60,1,1,1000,6.0,fibonacci,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_32,32,0,1,8,60,1,1,100,3.0,hydrolakes,1000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_33,33,3,8,3,30,1,10,1000,3.0,inland,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_34,34,0,1,8,60,1,1,10000,0.25,inland,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_35,35,1,2,4,30,10,10,10000,6.0,fibonacci,10000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_36,36,2,3,4,60,10,10,100,1.0,fibonacci,10000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_37,37,2,3,4,30,1,10,10000,1.0,fibonacci,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_38,38,2,3,4,30,1,10,1000,1.0,hydrolakes,2500,1,heuristic,broadcaster
scenario_heuristic-broadcaster_39,39,0,1,8,60,1,10,100,1.0,inland,10000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_40,40,2,3,4,60,10,1,100,0.25,inland,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_41,41,1,2,4,30,10,1,1000,0.25,fibonacci,5000,1,heuristic,broadcaster
scenario_heuristic-broadcaster_42,42,3,8,3,60,10,1,100,6.0,hydrolakes,5000,1,heuristic,broadcaster
scenario_heuristic-acbba_0,0,0,1,8,60,10,10,100,1.0,fibonacci,2500,1,heuristic,acbba
scenario_heuristic-acbba_1,1,1,2,4,30,10,1,100,6.0,inland,1000,1,heuristic,acbba
scenario_heuristic-acbba_2,2,0,1,8,30,10,1,1000,1.0,fibonacci,5000,1,heuristic,acbba
scenario_heuristic-acbba_3,3,2,3,4,60,10,10,10000,3.0,inland,5000,1,heuristic,acbba
scenario_heuristic-acbba_4,4,2,3,4,30,1,10,100,0.25,hydrolakes,1000,1,heuristic,acbba
scenario_heuristic-acbba_5,5,0,1,8,60,10,10,10000,3.0,hydrolakes,2500,1,heuristic,acbba
scenario_heuristic-acbba_6,6,2,3,4,30,1,10,1000,6.0,inland,5000,1,heuristic,acbba
scenario_heuristic-acbba_7,7,0,1,8,60,10,1,100,0.25,inland,10000,1,heuristic,acbba
scenario_heuristic-acbba_8,8,3,8,3,60,10,10,10000,3.0,fibonacci,2500,1,heuristic,acbba
scenario_heuristic-acbba_9,9,1,2,4,30,1,10,1000,6.0,hydrolakes,2500,1,heuristic,acbba
scenario_heuristic-acbba_10,10,1,2,4,60,1,10,100,1.0,inland,5000,1,heuristic,acbba
scenario_heuristic-acbba_11,11,3,8,3,60,10,10,1000,0.25,fibonacci,2500,1,heuristic,acbba
scenario_heuristic-acbba_12,12,3,8,3,60,10,1,10000,1.0,fibonacci,1000,1,heuristic,acbba
scenario_heuristic-acbba_13,13,1,2,4,30,1,10,10000,3.0,inland,10000,1,heuristic,acbba
scenario_heuristic-acbba_14,14,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,heuristic,acbba
scenario_heuristic-acbba_15,15,0,1,8,30,10,1,10000,6.0,inland,10000,1,heuristic,acbba
scenario_heuristic-acbba_16,16,3,8,3,30,10,1,10000,3.0,fibonacci,2500,1,heuristic,acbba
scenario_heuristic-acbba_17,17,2,3,4,30,10,1,1000,6.0,hydrolakes,1000,1,heuristic,acbba
scenario_heuristic-acbba_18,18,1,2,4,30,1,1,10000,0.25,inland,1000,1,heuristic,acbba
scenario_heuristic-acbba_19,19,3,8,3,30,10,1,1000,1.0,fibonacci,1000,1,heuristic,acbba
scenario_heuristic-acbba_20,20,1,2,4,30,1,1,100,1.0,hydrolakes,1000,1,heuristic,acbba
scenario_heuristic-acbba_21,21,0,1,8,60,1,10,1000,0.25,fibonacci,10000,1,heuristic,acbba
scenario_heuristic-acbba_22,22,3,8,3,60,10,10,1000,6.0,hydrolakes,1000,1,heuristic,acbba
scenario_heuristic-acbba_23,23,3,8,3,60,10,1,10000,1.0,fibonacci,2500,1,heuristic,acbba
scenario_heuristic-acbba_24,24,2,3,4,60,1,10,100,0.25,hydrolakes,2500,1,heuristic,acbba
scenario_heuristic-acbba_25,25,2,3,4,30,1,1,10000,6.0,inland,10000,1,heuristic,acbba
scenario_heuristic-acbba_26,26,0,1,8,60,1,10,1000,1.0,inland,2500,1,heuristic,acbba
scenario_heuristic-acbba_27,27,2,3,4,30,1,10,100,0.25,inland,2500,1,heuristic,acbba
scenario_heuristic-acbba_28,28,0,1,8,30,1,1,1000,6.0,hydrolakes,1000,1,heuristic,acbba
scenario_heuristic-acbba_29,29,1,2,4,60,1,1,10000,0.25,fibonacci,5000,1,heuristic,acbba
scenario_heuristic-acbba_30,30,3,8,3,30,10,1,1000,3.0,hydrolakes,5000,1,heuristic,acbba
scenario_heuristic-acbba_31,31,3,8,3,60,1,1,1000,6.0,fibonacci,5000,1,heuristic,acbba
scenario_heuristic-acbba_32,32,0,1,8,60,1,1,100,3.0,hydrolakes,1000,1,heuristic,acbba
scenario_heuristic-acbba_33,33,3,8,3,30,1,10,1000,3.0,inland,5000,1,heuristic,acbba
scenario_heuristic-acbba_34,34,0,1,8,60,1,1,10000,0.25,inland,5000,1,heuristic,acbba
scenario_heuristic-acbba_35,35,1,2,4,30,10,10,10000,6.0,fibonacci,10000,1,heuristic,acbba
scenario_heuristic-acbba_36,36,2,3,4,60,10,10,100,1.0,fibonacci,10000,1,heuristic,acbba
scenario_heuristic-acbba_37,37,2,3,4,30,1,10,10000,1.0,fibonacci,2500,1,heuristic,acbba
scenario_heuristic-acbba_38,38,2,3,4,30,1,10,1000,1.0,hydrolakes,2500,1,heuristic,acbba
scenario_heuristic-acbba_39,39,0,1,8,60,1,10,100,1.0,inland,10000,1,heuristic,acbba
