Name,Scenario ID,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Preplanner,Replanner
scenario_fifo-none_17,17,0,1,8,30,10,1,10000,6.0,uniform,10000,0.3333333333333333,fifo,none
scenario_fifo-none_18,18,3,8,3,30,10,1,10000,3.0,hydrolakes,2500,1.0,fifo,none
scenario_fifo-none_19,19,2,3,4,60,1,10,1000,3.0,fibonacci,10000,0.5,fifo,none
scenario_fifo-none_20,20,2,3,4,30,10,1,1000,6.0,fibonacci,1000,1.0,fifo,none
scenario_fifo-none_21,21,1,2,4,30,1,1,10000,0.25,uniform,1000,0.5,fifo,none
scenario_fifo-none_22,22,3,8,3,30,10,1,1000,1.0,hydrolakes,1000,0.25,fifo,none
scenario_fifo-none_23,23,1,2,4,30,1,1,100,1.0,fibonacci,1000,0.25,fifo,none
scenario_fifo-none_24,24,3,8,3,60,10,10,1000,6.0,fibonacci,1000,1.0,fifo,none
scenario_fifo-none_25,25,3,8,3,60,10,1,10000,1.0,hydrolakes,2500,0.5,fifo,none
scenario_fifo-none_26,26,2,3,4,60,1,10,100,0.25,fibonacci,2500,0.5,fifo,none
scenario_fifo-none_27,27,2,3,4,30,1,1,10000,6.0,uniform,10000,0.25,fifo,none
scenario_fifo-none_28,28,0,1,8,60,1,10,1000,1.0,uniform,2500,0.25,fifo,none
scenario_fifo-none_29,29,2,3,4,30,1,10,100,0.25,uniform,2500,0.25,fifo,none
scenario_fifo-none_30,30,0,1,8,30,1,1,1000,6.0,fibonacci,1000,0.5,fifo,none
scenario_fifo-none_31,31,1,2,4,60,1,1,10000,0.25,hydrolakes,5000,1.0,fifo,none
scenario_fifo-none_32,32,3,8,3,30,10,1,1000,3.0,fibonacci,5000,0.3333333333333333,fifo,none
scenario_fifo-none_33,33,3,8,3,60,1,1,1000,6.0,hydrolakes,5000,1.0,fifo,none
scenario_fifo-none_34,34,0,1,8,60,1,1,100,3.0,fibonacci,1000,0.5,fifo,none
scenario_fifo-none_35,35,3,8,3,30,1,10,1000,3.0,uniform,5000,0.3333333333333333,fifo,none
scenario_fifo-none_36,36,0,1,8,60,1,1,10000,0.25,uniform,5000,0.5,fifo,none
scenario_fifo-none_37,37,1,2,4,60,10,1,100,3.0,fibonacci,10000,0.25,fifo,none
scenario_fifo-none_38,38,2,3,4,30,1,10,10000,1.0,hydrolakes,2500,0.3333333333333333,fifo,none
scenario_fifo-none_39,39,2,3,4,30,1,10,1000,1.0,fibonacci,2500,0.5,fifo,none
scenario_fifo-none_40,40,0,1,8,60,1,10,100,1.0,uniform,10000,0.3333333333333333,fifo,none
scenario_fifo-none_41,41,2,3,4,60,10,1,100,0.25,uniform,5000,0.25,fifo,none
scenario_fifo-none_42,42,1,2,4,30,10,1,1000,0.25,hydrolakes,5000,0.3333333333333333,fifo,none
scenario_fifo-none_43,43,3,8,3,60,10,1,100,6.0,fibonacci,5000,0.5,fifo,none
scenario_nadir-acbba_0,0,1,2,4,30,1,10,10000,6.0,fibonacci,10000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_1,1,0,1,8,60,10,10,100,1.0,hydrolakes,2500,1.0,nadir,acbba
scenario_nadir-acbba_2,2,1,2,4,30,10,1,100,6.0,uniform,1000,1.0,nadir,acbba
scenario_nadir-acbba_3,3,0,1,8,30,10,1,1000,1.0,hydrolakes,5000,1.0,nadir,acbba
scenario_nadir-acbba_4,4,2,3,4,60,10,10,10000,3.0,uniform,5000,1.0,nadir,acbba
scenario_nadir-acbba_5,5,2,3,4,30,1,10,100,0.25,fibonacci,1000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_6,6,0,1,8,60,10,10,10000,3.0,fibonacci,2500,0.25,nadir,acbba
scenario_nadir-acbba_7,7,2,3,4,30,1,10,1000,6.0,uniform,5000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_8,8,0,1,8,60,10,1,100,0.25,uniform,10000,1.0,nadir,acbba
scenario_nadir-acbba_9,9,3,8,3,60,10,10,10000,3.0,hydrolakes,2500,0.5,nadir,acbba
scenario_nadir-acbba_10,10,1,2,4,30,1,10,1000,6.0,fibonacci,2500,1.0,nadir,acbba
scenario_nadir-acbba_11,11,1,2,4,60,1,10,100,1.0,uniform,5000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_12,12,3,8,3,60,10,10,1000,0.25,hydrolakes,2500,0.5,nadir,acbba
scenario_nadir-acbba_13,13,3,8,3,60,10,1,10000,1.0,hydrolakes,1000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_14,14,1,2,4,30,1,10,10000,3.0,uniform,10000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_15,15,3,8,3,60,10,1,100,0.25,hydrolakes,1000,0.25,nadir,acbba
scenario_nadir-acbba_16,16,0,1,8,30,1,10,100,3.0,fibonacci,10000,0.25,nadir,acbba
scenario_nadir-acbba_17,17,0,1,8,30,10,1,10000,6.0,uniform,10000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_18,18,3,8,3,30,10,1,10000,3.0,hydrolakes,2500,1.0,nadir,acbba
scenario_nadir-acbba_19,19,2,3,4,60,1,10,1000,3.0,fibonacci,10000,0.5,nadir,acbba
scenario_nadir-acbba_20,20,2,3,4,30,10,1,1000,6.0,fibonacci,1000,1.0,nadir,acbba
scenario_nadir-acbba_21,21,1,2,4,30,1,1,10000,0.25,uniform,1000,0.5,nadir,acbba
scenario_nadir-acbba_22,22,3,8,3,30,10,1,1000,1.0,hydrolakes,1000,0.25,nadir,acbba
scenario_nadir-acbba_23,23,1,2,4,30,1,1,100,1.0,fibonacci,1000,0.25,nadir,acbba
scenario_nadir-acbba_24,24,3,8,3,60,10,10,1000,6.0,fibonacci,1000,1.0,nadir,acbba
scenario_nadir-acbba_25,25,3,8,3,60,10,1,10000,1.0,hydrolakes,2500,0.5,nadir,acbba
scenario_nadir-acbba_26,26,2,3,4,60,1,10,100,0.25,fibonacci,2500,0.5,nadir,acbba
scenario_nadir-acbba_27,27,2,3,4,30,1,1,10000,6.0,uniform,10000,0.25,nadir,acbba
scenario_nadir-acbba_28,28,0,1,8,60,1,10,1000,1.0,uniform,2500,0.25,nadir,acbba
scenario_nadir-acbba_29,29,2,3,4,30,1,10,100,0.25,uniform,2500,0.25,nadir,acbba
scenario_nadir-acbba_30,30,0,1,8,30,1,1,1000,6.0,fibonacci,1000,0.5,nadir,acbba
scenario_nadir-acbba_31,31,1,2,4,60,1,1,10000,0.25,hydrolakes,5000,1.0,nadir,acbba
scenario_nadir-acbba_32,32,3,8,3,30,10,1,1000,3.0,fibonacci,5000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_33,33,3,8,3,60,1,1,1000,6.0,hydrolakes,5000,1.0,nadir,acbba
scenario_nadir-acbba_34,34,0,1,8,60,1,1,100,3.0,fibonacci,1000,0.5,nadir,acbba
scenario_nadir-acbba_35,35,3,8,3,30,1,10,1000,3.0,uniform,5000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_36,36,0,1,8,60,1,1,10000,0.25,uniform,5000,0.5,nadir,acbba
scenario_nadir-acbba_37,37,1,2,4,60,10,1,100,3.0,fibonacci,10000,0.25,nadir,acbba
scenario_nadir-acbba_38,38,2,3,4,30,1,10,10000,1.0,hydrolakes,2500,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_39,39,2,3,4,30,1,10,1000,1.0,fibonacci,2500,0.5,nadir,acbba
scenario_nadir-acbba_40,40,0,1,8,60,1,10,100,1.0,uniform,10000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_41,41,2,3,4,60,10,1,100,0.25,uniform,5000,0.25,nadir,acbba
scenario_nadir-acbba_42,42,1,2,4,30,10,1,1000,0.25,hydrolakes,5000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_43,43,3,8,3,60,10,1,100,6.0,fibonacci,5000,0.5,nadir,acbba
scenario_nadir-none_0,0,1,2,4,30,1,10,10000,6.0,fibonacci,10000,0.3333333333333333,nadir,none
scenario_nadir-none_1,1,0,1,8,60,10,10,100,1.0,hydrolakes,2500,1.0,nadir,none
scenario_nadir-none_2,2,1,2,4,30,10,1,100,6.0,uniform,1000,1.0,nadir,none
scenario_nadir-none_3,3,0,1,8,30,10,1,1000,1.0,hydrolakes,5000,1.0,nadir,none
scenario_nadir-none_4,4,2,3,4,60,10,10,10000,3.0,uniform,5000,1.0,nadir,none
scenario_nadir-none_5,5,2,3,4,30,1,10,100,0.25,fibonacci,1000,0.3333333333333333,nadir,none
scenario_nadir-none_6,6,0,1,8,60,10,10,10000,3.0,fibonacci,2500,0.25,nadir,none
scenario_nadir-none_7,7,2,3,4,30,1,10,1000,6.0,uniform,5000,0.3333333333333333,nadir,none
scenario_nadir-none_8,8,0,1,8,60,10,1,100,0.25,uniform,10000,1.0,nadir,none
scenario_nadir-none_9,9,3,8,3,60,10,10,10000,3.0,hydrolakes,2500,0.5,nadir,none
scenario_nadir-none_10,10,1,2,4,30,1,10,1000,6.0,fibonacci,2500,1.0,nadir,none
scenario_nadir-none_11,11,1,2,4,60,1,10,100,1.0,uniform,5000,0.3333333333333333,nadir,none
scenario_nadir-none_12,12,3,8,3,60,10,10,1000,0.25,hydrolakes,2500,0.5,nadir,none
scenario_nadir-none_13,13,3,8,3,60,10,1,10000,1.0,hydrolakes,1000,0.3333333333333333,nadir,none
scenario_nadir-none_14,14,1,2,4,30,1,10,10000,3.0,uniform,10000,0.3333333333333333,nadir,none
scenario_nadir-none_15,15,3,8,3,60,10,1,100,0.25,hydrolakes,1000,0.25,nadir,none
scenario_nadir-none_16,16,0,1,8,30,1,10,100,3.0,fibonacci,10000,0.25,nadir,none
scenario_nadir-none_17,17,0,1,8,30,10,1,10000,6.0,uniform,10000,0.3333333333333333,nadir,none
scenario_nadir-none_18,18,3,8,3,30,10,1,10000,3.0,hydrolakes,2500,1.0,nadir,none
scenario_nadir-none_19,19,2,3,4,60,1,10,1000,3.0,fibonacci,10000,0.5,nadir,none
scenario_nadir-none_20,20,2,3,4,30,10,1,1000,6.0,fibonacci,1000,1.0,nadir,none
scenario_nadir-none_21,21,1,2,4,30,1,1,10000,0.25,uniform,1000,0.5,nadir,none
scenario_nadir-none_22,22,3,8,3,30,10,1,1000,1.0,hydrolakes,1000,0.25,nadir,none
scenario_nadir-none_23,23,1,2,4,30,1,1,100,1.0,fibonacci,1000,0.25,nadir,none
scenario_nadir-none_24,24,3,8,3,60,10,10,1000,6.0,fibonacci,1000,1.0,nadir,none
scenario_nadir-none_25,25,3,8,3,60,10,1,10000,1.0,hydrolakes,2500,0.5,nadir,none
scenario_nadir-none_26,26,2,3,4,60,1,10,100,0.25,fibonacci,2500,0.5,nadir,none
scenario_nadir-none_27,27,2,3,4,30,1,1,10000,6.0,uniform,10000,0.25,nadir,none
scenario_nadir-none_28,28,0,1,8,60,1,10,1000,1.0,uniform,2500,0.25,nadir,none
scenario_nadir-none_29,29,2,3,4,30,1,10,100,0.25,uniform,2500,0.25,nadir,none
scenario_nadir-none_30,30,0,1,8,30,1,1,1000,6.0,fibonacci,1000,0.5,nadir,none
scenario_nadir-none_31,31,1,2,4,60,1,1,10000,0.25,hydrolakes,5000,1.0,nadir,none
scenario_nadir-none_32,32,3,8,3,30,10,1,1000,3.0,fibonacci,5000,0.3333333333333333,nadir,none
scenario_nadir-none_33,33,3,8,3,60,1,1,1000,6.0,hydrolakes,5000,1.0,nadir,none
scenario_nadir-none_34,34,0,1,8,60,1,1,100,3.0,fibonacci,1000,0.5,nadir,none
scenario_nadir-none_35,35,3,8,3,30,1,10,1000,3.0,uniform,5000,0.3333333333333333,nadir,none
scenario_nadir-none_36,36,0,1,8,60,1,1,10000,0.25,uniform,5000,0.5,nadir,none
scenario_nadir-none_37,37,1,2,4,60,10,1,100,3.0,fibonacci,10000,0.25,nadir,none
scenario_nadir-none_38,38,2,3,4,30,1,10,10000,1.0,hydrolakes,2500,0.3333333333333333,nadir,none
scenario_nadir-none_39,39,2,3,4,30,1,10,1000,1.0,fibonacci,2500,0.5,nadir,none
scenario_nadir-none_40,40,0,1,8,60,1,10,100,1.0,uniform,10000,0.3333333333333333,nadir,none
scenario_nadir-none_41,41,2,3,4,60,10,1,100,0.25,uniform,5000,0.25,nadir,none
scenario_nadir-none_42,42,1,2,4,30,10,1,1000,0.25,hydrolakes,5000,0.3333333333333333,nadir,none
scenario_nadir-none_43,43,3,8,3,60,10,1,100,6.0,fibonacci,5000,0.5,nadir,none
scenario_dp-acbba_0,0,1,2,4,30,1,10,10000,6.0,fibonacci,10000,0.3333333333333333,dp,acbba
scenario_dp-acbba_1,1,0,1,8,60,10,10,100,1.0,hydrolakes,2500,1.0,dp,acbba
scenario_dp-acbba_2,2,1,2,4,30,10,1,100,6.0,uniform,1000,1.0,dp,acbba
scenario_dp-acbba_3,3,0,1,8,30,10,1,1000,1.0,hydrolakes,5000,1.0,dp,acbba
scenario_dp-acbba_4,4,2,3,4,60,10,10,10000,3.0,uniform,5000,1.0,dp,acbba
scenario_dp-acbba_5,5,2,3,4,30,1,10,100,0.25,fibonacci,1000,0.3333333333333333,dp,acbba
scenario_dp-acbba_6,6,0,1,8,60,10,10,10000,3.0,fibonacci,2500,0.25,dp,acbba
scenario_dp-acbba_7,7,2,3,4,30,1,10,1000,6.0,uniform,5000,0.3333333333333333,dp,acbba
scenario_dp-acbba_8,8,0,1,8,60,10,1,100,0.25,uniform,10000,1.0,dp,acbba
scenario_dp-acbba_9,9,3,8,3,60,10,10,10000,3.0,hydrolakes,2500,0.5,dp,acbba
scenario_dp-acbba_10,10,1,2,4,30,1,10,1000,6.0,fibonacci,2500,1.0,dp,acbba
scenario_dp-acbba_11,11,1,2,4,60,1,10,100,1.0,uniform,5000,0.3333333333333333,dp,acbba
scenario_dp-acbba_12,12,3,8,3,60,10,10,1000,0.25,hydrolakes,2500,0.5,dp,acbba
scenario_dp-acbba_13,13,3,8,3,60,10,1,10000,1.0,hydrolakes,1000,0.3333333333333333,dp,acbba
scenario_dp-acbba_14,14,1,2,4,30,1,10,10000,3.0,uniform,10000,0.3333333333333333,dp,acbba
scenario_dp-acbba_15,15,3,8,3,60,10,1,100,0.25,hydrolakes,1000,0.25,dp,acbba
scenario_dp-acbba_16,16,0,1,8,30,1,10,100,3.0,fibonacci,10000,0.25,dp,acbba
scenario_dp-acbba_17,17,0,1,8,30,10,1,10000,6.0,uniform,10000,0.3333333333333333,dp,acbba
scenario_dp-acbba_18,18,3,8,3,30,10,1,10000,3.0,hydrolakes,2500,1.0,dp,acbba
scenario_dp-acbba_19,19,2,3,4,60,1,10,1000,3.0,fibonacci,10000,0.5,dp,acbba
scenario_dp-acbba_20,20,2,3,4,30,10,1,1000,6.0,fibonacci,1000,1.0,dp,acbba
scenario_dp-acbba_21,21,1,2,4,30,1,1,10000,0.25,uniform,1000,0.5,dp,acbba
scenario_dp-acbba_22,22,3,8,3,30,10,1,1000,1.0,hydrolakes,1000,0.25,dp,acbba
scenario_dp-acbba_23,23,1,2,4,30,1,1,100,1.0,fibonacci,1000,0.25,dp,acbba
scenario_dp-acbba_24,24,3,8,3,60,10,10,1000,6.0,fibonacci,1000,1.0,dp,acbba
scenario_dp-acbba_25,25,3,8,3,60,10,1,10000,1.0,hydrolakes,2500,0.5,dp,acbba
scenario_dp-acbba_26,26,2,3,4,60,1,10,100,0.25,fibonacci,2500,0.5,dp,acbba
scenario_dp-acbba_27,27,2,3,4,30,1,1,10000,6.0,uniform,10000,0.25,dp,acbba
scenario_dp-acbba_28,28,0,1,8,60,1,10,1000,1.0,uniform,2500,0.25,dp,acbba
scenario_dp-acbba_29,29,2,3,4,30,1,10,100,0.25,uniform,2500,0.25,dp,acbba
scenario_dp-acbba_30,30,0,1,8,30,1,1,1000,6.0,fibonacci,1000,0.5,dp,acbba
scenario_dp-acbba_31,31,1,2,4,60,1,1,10000,0.25,hydrolakes,5000,1.0,dp,acbba
scenario_dp-acbba_32,32,3,8,3,30,10,1,1000,3.0,fibonacci,5000,0.3333333333333333,dp,acbba
scenario_dp-acbba_33,33,3,8,3,60,1,1,1000,6.0,hydrolakes,5000,1.0,dp,acbba
scenario_dp-acbba_34,34,0,1,8,60,1,1,100,3.0,fibonacci,1000,0.5,dp,acbba
scenario_dp-acbba_35,35,3,8,3,30,1,10,1000,3.0,uniform,5000,0.3333333333333333,dp,acbba
scenario_dp-acbba_36,36,0,1,8,60,1,1,10000,0.25,uniform,5000,0.5,dp,acbba
scenario_dp-acbba_37,37,1,2,4,60,10,1,100,3.0,fibonacci,10000,0.25,dp,acbba
scenario_dp-acbba_38,38,2,3,4,30,1,10,10000,1.0,hydrolakes,2500,0.3333333333333333,dp,acbba
scenario_dp-acbba_39,39,2,3,4,30,1,10,1000,1.0,fibonacci,2500,0.5,dp,acbba
scenario_dp-acbba_40,40,0,1,8,60,1,10,100,1.0,uniform,10000,0.3333333333333333,dp,acbba
scenario_dp-acbba_41,41,2,3,4,60,10,1,100,0.25,uniform,5000,0.25,dp,acbba
scenario_dp-acbba_42,42,1,2,4,30,10,1,1000,0.25,hydrolakes,5000,0.3333333333333333,dp,acbba
scenario_dp-acbba_43,43,3,8,3,60,10,1,100,6.0,fibonacci,5000,0.5,dp,acbba
scenario_dp-none_0,0,1,2,4,30,1,10,10000,6.0,fibonacci,10000,0.3333333333333333,dp,none
scenario_dp-none_1,1,0,1,8,60,10,10,100,1.0,hydrolakes,2500,1.0,dp,none
scenario_dp-none_2,2,1,2,4,30,10,1,100,6.0,uniform,1000,1.0,dp,none
scenario_dp-none_3,3,0,1,8,30,10,1,1000,1.0,hydrolakes,5000,1.0,dp,none
scenario_dp-none_4,4,2,3,4,60,10,10,10000,3.0,uniform,5000,1.0,dp,none
scenario_dp-none_5,5,2,3,4,30,1,10,100,0.25,fibonacci,1000,0.3333333333333333,dp,none
scenario_dp-none_6,6,0,1,8,60,10,10,10000,3.0,fibonacci,2500,0.25,dp,none
scenario_dp-none_7,7,2,3,4,30,1,10,1000,6.0,uniform,5000,0.3333333333333333,dp,none
scenario_dp-none_8,8,0,1,8,60,10,1,100,0.25,uniform,10000,1.0,dp,none
scenario_dp-none_9,9,3,8,3,60,10,10,10000,3.0,hydrolakes,2500,0.5,dp,none
scenario_dp-none_10,10,1,2,4,30,1,10,1000,6.0,fibonacci,2500,1.0,dp,none
scenario_dp-none_11,11,1,2,4,60,1,10,100,1.0,uniform,5000,0.3333333333333333,dp,none
scenario_dp-none_12,12,3,8,3,60,10,10,1000,0.25,hydrolakes,2500,0.5,dp,none
scenario_dp-none_13,13,3,8,3,60,10,1,10000,1.0,hydrolakes,1000,0.3333333333333333,dp,none
scenario_dp-none_14,14,1,2,4,30,1,10,10000,3.0,uniform,10000,0.3333333333333333,dp,none
scenario_dp-none_15,15,3,8,3,60,10,1,100,0.25,hydrolakes,1000,0.25,dp,none
scenario_dp-none_16,16,0,1,8,30,1,10,100,3.0,fibonacci,10000,0.25,dp,none
scenario_dp-none_17,17,0,1,8,30,10,1,10000,6.0,uniform,10000,0.3333333333333333,dp,none
scenario_dp-none_18,18,3,8,3,30,10,1,10000,3.0,hydrolakes,2500,1.0,dp,none
scenario_dp-none_19,19,2,3,4,60,1,10,1000,3.0,fibonacci,10000,0.5,dp,none
scenario_dp-none_20,20,2,3,4,30,10,1,1000,6.0,fibonacci,1000,1.0,dp,none
scenario_dp-none_21,21,1,2,4,30,1,1,10000,0.25,uniform,1000,0.5,dp,none
scenario_dp-none_22,22,3,8,3,30,10,1,1000,1.0,hydrolakes,1000,0.25,dp,none
scenario_dp-none_23,23,1,2,4,30,1,1,100,1.0,fibonacci,1000,0.25,dp,none
scenario_dp-none_24,24,3,8,3,60,10,10,1000,6.0,fibonacci,1000,1.0,dp,none
scenario_dp-none_25,25,3,8,3,60,10,1,10000,1.0,hydrolakes,2500,0.5,dp,none
scenario_dp-none_26,26,2,3,4,60,1,10,100,0.25,fibonacci,2500,0.5,dp,none
scenario_dp-none_27,27,2,3,4,30,1,1,10000,6.0,uniform,10000,0.25,dp,none
scenario_dp-none_28,28,0,1,8,60,1,10,1000,1.0,uniform,2500,0.25,dp,none
scenario_dp-none_29,29,2,3,4,30,1,10,100,0.25,uniform,2500,0.25,dp,none
scenario_dp-none_30,30,0,1,8,30,1,1,1000,6.0,fibonacci,1000,0.5,dp,none
scenario_dp-none_31,31,1,2,4,60,1,1,10000,0.25,hydrolakes,5000,1.0,dp,none
scenario_dp-none_32,32,3,8,3,30,10,1,1000,3.0,fibonacci,5000,0.3333333333333333,dp,none
scenario_dp-none_33,33,3,8,3,60,1,1,1000,6.0,hydrolakes,5000,1.0,dp,none
