Name,Scenario ID,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Grid Distribution,Preplanner,Replanner
scenario_fifo-broadcaster_33,33,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_34,34,3,8,3,60,10,10,100,1.0,hydrolakes,5000,1,global,fifo,broadcaster
scenario_fifo-broadcaster_35,35,0,1,8,30,10,10,10000,0.25,hydrolakes,5000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_36,36,2,3,4,60,1,1,1000,6.0,hydrolakes,2500,1,global,fifo,broadcaster
scenario_fifo-broadcaster_37,37,0,1,8,60,10,10,100,6.0,fibonacci,5000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_38,38,3,8,3,30,10,10,1000,0.25,uniform,2500,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_39,39,2,3,4,30,10,10,100,6.0,hydrolakes,5000,1,inland,fifo,broadcaster
scenario_fifo-broadcaster_40,40,2,3,4,60,10,10,1000,6.0,hydrolakes,5000,1,global,fifo,broadcaster
scenario_fifo-acbba_0,0,1,2,4,60,1,1,1000,1.0,fibonacci,2500,1,global,fifo,acbba
scenario_fifo-acbba_1,1,1,2,4,60,1,1,100,0.25,uniform,10000,1,global,fifo,acbba
scenario_fifo-acbba_2,2,0,1,8,30,1,1,10000,1.0,hydrolakes,2500,1,inland,fifo,acbba
scenario_fifo-acbba_3,3,2,3,4,30,10,10,100,1.0,fibonacci,10000,1,inland,fifo,acbba
scenario_fifo-acbba_4,4,1,2,4,60,1,1,1000,0.25,hydrolakes,1000,1,inland,fifo,acbba
scenario_fifo-acbba_5,5,3,8,3,60,1,1,100,1.0,fibonacci,1000,1,global,fifo,acbba
scenario_fifo-acbba_6,6,2,3,4,30,1,10,100,0.25,uniform,2500,1,inland,fifo,acbba
scenario_fifo-acbba_7,7,1,2,4,30,1,10,1000,3.0,fibonacci,10000,1,global,fifo,acbba
scenario_fifo-acbba_8,8,1,2,4,60,10,1,100,6.0,uniform,1000,1,global,fifo,acbba
scenario_fifo-acbba_9,9,2,3,4,60,10,1,1000,3.0,fibonacci,5000,1,global,fifo,acbba
scenario_fifo-acbba_10,10,2,3,4,60,1,10,10000,3.0,hydrolakes,5000,1,inland,fifo,acbba
scenario_fifo-acbba_11,11,2,3,4,60,10,1,1000,1.0,fibonacci,10000,1,global,fifo,acbba
scenario_fifo-acbba_12,12,2,3,4,30,1,1,10000,3.0,fibonacci,5000,1,inland,fifo,acbba
scenario_fifo-acbba_13,13,0,1,8,60,10,1,100,1.0,uniform,10000,1,inland,fifo,acbba
scenario_fifo-acbba_14,14,0,1,8,60,1,1,1000,3.0,hydrolakes,1000,1,global,fifo,acbba
scenario_fifo-acbba_15,15,3,8,3,30,10,1,1000,3.0,fibonacci,1000,1,global,fifo,acbba
scenario_fifo-acbba_16,16,3,8,3,30,10,10,100,6.0,fibonacci,10000,1,global,fifo,acbba
scenario_fifo-acbba_17,17,0,1,8,60,1,1,100,1.0,uniform,2500,1,global,fifo,acbba
scenario_fifo-acbba_18,18,0,1,8,30,10,1,100,1.0,uniform,1000,1,inland,fifo,acbba
scenario_fifo-acbba_19,19,1,2,4,60,10,10,10000,3.0,uniform,5000,1,inland,fifo,acbba
scenario_fifo-acbba_20,20,1,2,4,60,10,10,10000,0.25,fibonacci,1000,1,inland,fifo,acbba
scenario_fifo-acbba_21,21,3,8,3,30,10,10,10000,3.0,uniform,2500,1,inland,fifo,acbba
scenario_fifo-acbba_22,22,2,3,4,60,1,1,10000,1.0,uniform,5000,1,global,fifo,acbba
scenario_fifo-acbba_23,23,0,1,8,30,10,1,10000,1.0,fibonacci,10000,1,inland,fifo,acbba
scenario_fifo-acbba_24,24,1,2,4,30,1,10,100,0.25,uniform,5000,1,global,fifo,acbba
scenario_fifo-acbba_25,25,3,8,3,60,10,1,1000,1.0,fibonacci,1000,1,global,fifo,acbba
scenario_fifo-acbba_26,26,0,1,8,60,1,10,10000,0.25,uniform,10000,1,inland,fifo,acbba
scenario_fifo-acbba_27,27,3,8,3,60,1,1,10000,0.25,uniform,10000,1,inland,fifo,acbba
scenario_fifo-acbba_28,28,3,8,3,30,1,1,1000,3.0,uniform,2500,1,inland,fifo,acbba
scenario_fifo-acbba_29,29,0,1,8,30,10,10,1000,3.0,uniform,10000,1,inland,fifo,acbba
scenario_fifo-acbba_30,30,1,2,4,30,1,10,100,6.0,hydrolakes,5000,1,inland,fifo,acbba
scenario_fifo-acbba_31,31,1,2,4,30,1,1,1000,0.25,hydrolakes,1000,1,global,fifo,acbba
scenario_fifo-acbba_32,32,3,8,3,60,1,10,100,3.0,uniform,2500,1,global,fifo,acbba
scenario_fifo-acbba_33,33,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,inland,fifo,acbba
scenario_fifo-acbba_34,34,3,8,3,60,10,10,100,1.0,hydrolakes,5000,1,global,fifo,acbba
scenario_fifo-acbba_35,35,0,1,8,30,10,10,10000,0.25,hydrolakes,5000,1,inland,fifo,acbba
scenario_fifo-acbba_36,36,2,3,4,60,1,1,1000,6.0,hydrolakes,2500,1,global,fifo,acbba
scenario_fifo-acbba_37,37,0,1,8,60,10,10,100,6.0,fibonacci,5000,1,inland,fifo,acbba
scenario_fifo-acbba_38,38,3,8,3,30,10,10,1000,0.25,uniform,2500,1,inland,fifo,acbba
scenario_fifo-acbba_39,39,2,3,4,30,10,10,100,6.0,hydrolakes,5000,1,inland,fifo,acbba
scenario_fifo-acbba_40,40,2,3,4,60,10,10,1000,6.0,hydrolakes,5000,1,global,fifo,acbba
scenario_heuristic-none_0,0,1,2,4,60,1,1,1000,1.0,fibonacci,2500,1,global,heuristic,none
scenario_heuristic-none_1,1,1,2,4,60,1,1,100,0.25,uniform,10000,1,global,heuristic,none
scenario_heuristic-none_2,2,0,1,8,30,1,1,10000,1.0,hydrolakes,2500,1,inland,heuristic,none
scenario_heuristic-none_3,3,2,3,4,30,10,10,100,1.0,fibonacci,10000,1,inland,heuristic,none
scenario_heuristic-none_4,4,1,2,4,60,1,1,1000,0.25,hydrolakes,1000,1,inland,heuristic,none
scenario_heuristic-none_5,5,3,8,3,60,1,1,100,1.0,fibonacci,1000,1,global,heuristic,none
scenario_heuristic-none_6,6,2,3,4,30,1,10,100,0.25,uniform,2500,1,inland,heuristic,none
scenario_heuristic-none_7,7,1,2,4,30,1,10,1000,3.0,fibonacci,10000,1,global,heuristic,none
scenario_heuristic-none_8,8,1,2,4,60,10,1,100,6.0,uniform,1000,1,global,heuristic,none
scenario_heuristic-none_9,9,2,3,4,60,10,1,1000,3.0,fibonacci,5000,1,global,heuristic,none
scenario_heuristic-none_10,10,2,3,4,60,1,10,10000,3.0,hydrolakes,5000,1,inland,heuristic,none
scenario_heuristic-none_11,11,2,3,4,60,10,1,1000,1.0,fibonacci,10000,1,global,heuristic,none
scenario_heuristic-none_12,12,2,3,4,30,1,1,10000,3.0,fibonacci,5000,1,inland,heuristic,none
scenario_heuristic-none_13,13,0,1,8,60,10,1,100,1.0,uniform,10000,1,inland,heuristic,none
scenario_heuristic-none_14,14,0,1,8,60,1,1,1000,3.0,hydrolakes,1000,1,global,heuristic,none
scenario_heuristic-none_15,15,3,8,3,30,10,1,1000,3.0,fibonacci,1000,1,global,heuristic,none
scenario_heuristic-none_16,16,3,8,3,30,10,10,100,6.0,fibonacci,10000,1,global,heuristic,none
scenario_heuristic-none_17,17,0,1,8,60,1,1,100,1.0,uniform,2500,1,global,heuristic,none
scenario_heuristic-none_18,18,0,1,8,30,10,1,100,1.0,uniform,1000,1,inland,heuristic,none
scenario_heuristic-none_19,19,1,2,4,60,10,10,10000,3.0,uniform,5000,1,inland,heuristic,none
scenario_heuristic-none_20,20,1,2,4,60,10,10,10000,0.25,fibonacci,1000,1,inland,heuristic,none
scenario_heuristic-none_21,21,3,8,3,30,10,10,10000,3.0,uniform,2500,1,inland,heuristic,none
scenario_heuristic-none_22,22,2,3,4,60,1,1,10000,1.0,uniform,5000,1,global,heuristic,none
scenario_heuristic-none_23,23,0,1,8,30,10,1,10000,1.0,fibonacci,10000,1,inland,heuristic,none
scenario_heuristic-none_24,24,1,2,4,30,1,10,100,0.25,uniform,5000,1,global,heuristic,none
scenario_heuristic-none_25,25,3,8,3,60,10,1,1000,1.0,fibonacci,1000,1,global,heuristic,none
scenario_heuristic-none_26,26,0,1,8,60,1,10,10000,0.25,uniform,10000,1,inland,heuristic,none
scenario_heuristic-none_27,27,3,8,3,60,1,1,10000,0.25,uniform,10000,1,inland,heuristic,none
scenario_heuristic-none_28,28,3,8,3,30,1,1,1000,3.0,uniform,2500,1,inland,heuristic,none
scenario_heuristic-none_29,29,0,1,8,30,10,10,1000,3.0,uniform,10000,1,inland,heuristic,none
scenario_heuristic-none_30,30,1,2,4,30,1,10,100,6.0,hydrolakes,5000,1,inland,heuristic,none
scenario_heuristic-none_31,31,1,2,4,30,1,1,1000,0.25,hydrolakes,1000,1,global,heuristic,none
scenario_heuristic-none_32,32,3,8,3,60,1,10,100,3.0,uniform,2500,1,global,heuristic,none
scenario_heuristic-none_33,33,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,inland,heuristic,none
scenario_heuristic-none_34,34,3,8,3,60,10,10,100,1.0,hydrolakes,5000,1,global,heuristic,none
scenario_heuristic-none_35,35,0,1,8,30,10,10,10000,0.25,hydrolakes,5000,1,inland,heuristic,none
scenario_heuristic-none_36,36,2,3,4,60,1,1,1000,6.0,hydrolakes,2500,1,global,heuristic,none
scenario_heuristic-none_37,37,0,1,8,60,10,10,100,6.0,fibonacci,5000,1,inland,heuristic,none
scenario_heuristic-none_38,38,3,8,3,30,10,10,1000,0.25,uniform,2500,1,inland,heuristic,none
scenario_heuristic-none_39,39,2,3,4,30,10,10,100,6.0,hydrolakes,5000,1,inland,heuristic,none
scenario_heuristic-none_40,40,2,3,4,60,10,10,1000,6.0,hydrolakes,5000,1,global,heuristic,none
scenario_heuristic-broadcaster_0,0,1,2,4,60,1,1,1000,1.0,fibonacci,2500,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_1,1,1,2,4,60,1,1,100,0.25,uniform,10000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_2,2,0,1,8,30,1,1,10000,1.0,hydrolakes,2500,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_3,3,2,3,4,30,10,10,100,1.0,fibonacci,10000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_4,4,1,2,4,60,1,1,1000,0.25,hydrolakes,1000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_5,5,3,8,3,60,1,1,100,1.0,fibonacci,1000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_6,6,2,3,4,30,1,10,100,0.25,uniform,2500,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_7,7,1,2,4,30,1,10,1000,3.0,fibonacci,10000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_8,8,1,2,4,60,10,1,100,6.0,uniform,1000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_9,9,2,3,4,60,10,1,1000,3.0,fibonacci,5000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_10,10,2,3,4,60,1,10,10000,3.0,hydrolakes,5000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_11,11,2,3,4,60,10,1,1000,1.0,fibonacci,10000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_12,12,2,3,4,30,1,1,10000,3.0,fibonacci,5000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_13,13,0,1,8,60,10,1,100,1.0,uniform,10000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_14,14,0,1,8,60,1,1,1000,3.0,hydrolakes,1000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_15,15,3,8,3,30,10,1,1000,3.0,fibonacci,1000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_16,16,3,8,3,30,10,10,100,6.0,fibonacci,10000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_17,17,0,1,8,60,1,1,100,1.0,uniform,2500,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_18,18,0,1,8,30,10,1,100,1.0,uniform,1000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_19,19,1,2,4,60,10,10,10000,3.0,uniform,5000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_20,20,1,2,4,60,10,10,10000,0.25,fibonacci,1000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_21,21,3,8,3,30,10,10,10000,3.0,uniform,2500,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_22,22,2,3,4,60,1,1,10000,1.0,uniform,5000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_23,23,0,1,8,30,10,1,10000,1.0,fibonacci,10000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_24,24,1,2,4,30,1,10,100,0.25,uniform,5000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_25,25,3,8,3,60,10,1,1000,1.0,fibonacci,1000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_26,26,0,1,8,60,1,10,10000,0.25,uniform,10000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_27,27,3,8,3,60,1,1,10000,0.25,uniform,10000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_28,28,3,8,3,30,1,1,1000,3.0,uniform,2500,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_29,29,0,1,8,30,10,10,1000,3.0,uniform,10000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_30,30,1,2,4,30,1,10,100,6.0,hydrolakes,5000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_31,31,1,2,4,30,1,1,1000,0.25,hydrolakes,1000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_32,32,3,8,3,60,1,10,100,3.0,uniform,2500,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_33,33,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_34,34,3,8,3,60,10,10,100,1.0,hydrolakes,5000,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_35,35,0,1,8,30,10,10,10000,0.25,hydrolakes,5000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_36,36,2,3,4,60,1,1,1000,6.0,hydrolakes,2500,1,global,heuristic,broadcaster
scenario_heuristic-broadcaster_37,37,0,1,8,60,10,10,100,6.0,fibonacci,5000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_38,38,3,8,3,30,10,10,1000,0.25,uniform,2500,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_39,39,2,3,4,30,10,10,100,6.0,hydrolakes,5000,1,inland,heuristic,broadcaster
scenario_heuristic-broadcaster_40,40,2,3,4,60,10,10,1000,6.0,hydrolakes,5000,1,global,heuristic,broadcaster
scenario_heuristic-acbba_0,0,1,2,4,60,1,1,1000,1.0,fibonacci,2500,1,global,heuristic,acbba
scenario_heuristic-acbba_1,1,1,2,4,60,1,1,100,0.25,uniform,10000,1,global,heuristic,acbba
scenario_heuristic-acbba_2,2,0,1,8,30,1,1,10000,1.0,hydrolakes,2500,1,inland,heuristic,acbba
scenario_heuristic-acbba_3,3,2,3,4,30,10,10,100,1.0,fibonacci,10000,1,inland,heuristic,acbba
scenario_heuristic-acbba_4,4,1,2,4,60,1,1,1000,0.25,hydrolakes,1000,1,inland,heuristic,acbba
scenario_heuristic-acbba_5,5,3,8,3,60,1,1,100,1.0,fibonacci,1000,1,global,heuristic,acbba
scenario_heuristic-acbba_6,6,2,3,4,30,1,10,100,0.25,uniform,2500,1,inland,heuristic,acbba
scenario_heuristic-acbba_7,7,1,2,4,30,1,10,1000,3.0,fibonacci,10000,1,global,heuristic,acbba
scenario_heuristic-acbba_8,8,1,2,4,60,10,1,100,6.0,uniform,1000,1,global,heuristic,acbba
scenario_heuristic-acbba_9,9,2,3,4,60,10,1,1000,3.0,fibonacci,5000,1,global,heuristic,acbba
scenario_heuristic-acbba_10,10,2,3,4,60,1,10,10000,3.0,hydrolakes,5000,1,inland,heuristic,acbba
scenario_heuristic-acbba_11,11,2,3,4,60,10,1,1000,1.0,fibonacci,10000,1,global,heuristic,acbba
scenario_heuristic-acbba_12,12,2,3,4,30,1,1,10000,3.0,fibonacci,5000,1,inland,heuristic,acbba
scenario_heuristic-acbba_13,13,0,1,8,60,10,1,100,1.0,uniform,10000,1,inland,heuristic,acbba
scenario_heuristic-acbba_14,14,0,1,8,60,1,1,1000,3.0,hydrolakes,1000,1,global,heuristic,acbba
scenario_heuristic-acbba_15,15,3,8,3,30,10,1,1000,3.0,fibonacci,1000,1,global,heuristic,acbba
scenario_heuristic-acbba_16,16,3,8,3,30,10,10,100,6.0,fibonacci,10000,1,global,heuristic,acbba
scenario_heuristic-acbba_17,17,0,1,8,60,1,1,100,1.0,uniform,2500,1,global,heuristic,acbba
scenario_heuristic-acbba_18,18,0,1,8,30,10,1,100,1.0,uniform,1000,1,inland,heuristic,acbba
scenario_heuristic-acbba_19,19,1,2,4,60,10,10,10000,3.0,uniform,5000,1,inland,heuristic,acbba
scenario_heuristic-acbba_20,20,1,2,4,60,10,10,10000,0.25,fibonacci,1000,1,inland,heuristic,acbba
scenario_heuristic-acbba_21,21,3,8,3,30,10,10,10000,3.0,uniform,2500,1,inland,heuristic,acbba
scenario_heuristic-acbba_22,22,2,3,4,60,1,1,10000,1.0,uniform,5000,1,global,heuristic,acbba
scenario_heuristic-acbba_23,23,0,1,8,30,10,1,10000,1.0,fibonacci,10000,1,inland,heuristic,acbba
scenario_heuristic-acbba_24,24,1,2,4,30,1,10,100,0.25,uniform,5000,1,global,heuristic,acbba
scenario_heuristic-acbba_25,25,3,8,3,60,10,1,1000,1.0,fibonacci,1000,1,global,heuristic,acbba
scenario_heuristic-acbba_26,26,0,1,8,60,1,10,10000,0.25,uniform,10000,1,inland,heuristic,acbba
scenario_heuristic-acbba_27,27,3,8,3,60,1,1,10000,0.25,uniform,10000,1,inland,heuristic,acbba
scenario_heuristic-acbba_28,28,3,8,3,30,1,1,1000,3.0,uniform,2500,1,inland,heuristic,acbba
scenario_heuristic-acbba_29,29,0,1,8,30,10,10,1000,3.0,uniform,10000,1,inland,heuristic,acbba
scenario_heuristic-acbba_30,30,1,2,4,30,1,10,100,6.0,hydrolakes,5000,1,inland,heuristic,acbba
scenario_heuristic-acbba_31,31,1,2,4,30,1,1,1000,0.25,hydrolakes,1000,1,global,heuristic,acbba
scenario_heuristic-acbba_32,32,3,8,3,60,1,10,100,3.0,uniform,2500,1,global,heuristic,acbba
scenario_heuristic-acbba_33,33,3,8,3,60,10,1,100,0.25,fibonacci,1000,1,inland,heuristic,acbba
scenario_heuristic-acbba_34,34,3,8,3,60,10,10,100,1.0,hydrolakes,5000,1,global,heuristic,acbba
scenario_heuristic-acbba_35,35,0,1,8,30,10,10,10000,0.25,hydrolakes,5000,1,inland,heuristic,acbba
scenario_heuristic-acbba_36,36,2,3,4,60,1,1,1000,6.0,hydrolakes,2500,1,global,heuristic,acbba
