Name,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Percent Ground-Points Considered,Preplanner,Replanner
scenario_fifo-none_11,2,3,4,30,1,10,10,6.0,uniform,5000,0.3333333333333333,fifo,none
scenario_fifo-none_12,0,1,8,60,1,1,10000,3.0,hydrolakes,5000,0.3333333333333333,fifo,none
scenario_fifo-none_13,0,1,8,60,10,1,100,3.0,fibonacci,10000,0.2,fifo,none
scenario_fifo-none_14,1,2,4,60,10,1,10,0.25,hydrolakes,100,1.0,fifo,none
scenario_fifo-none_15,2,3,4,30,1,1,10,6.0,uniform,1000,0.2,fifo,none
scenario_fifo-none_16,3,8,3,60,10,10,100,1.0,uniform,5000,1.0,fifo,none
scenario_fifo-none_17,2,3,4,60,1,10,1000,1.0,uniform,5000,0.25,fifo,none
scenario_fifo-none_18,2,3,4,30,1,10,10000,0.25,uniform,10000,0.25,fifo,none
scenario_fifo-none_19,3,8,3,30,10,1,10000,0.25,fibonacci,10000,0.2,fifo,none
scenario_fifo-none_20,2,3,4,30,10,1,1000,0.25,fibonacci,10000,0.25,fifo,none
scenario_fifo-none_21,1,2,4,30,10,10,10000,1.0,hydrolakes,1000,1.0,fifo,none
scenario_fifo-none_22,1,2,4,30,10,1,10,0.25,uniform,10000,0.3333333333333333,fifo,none
scenario_fifo-none_23,1,2,4,60,1,10,1000,1.0,fibonacci,10000,0.25,fifo,none
scenario_fifo-none_24,3,8,3,60,10,1,1000,3.0,fibonacci,10000,0.5,fifo,none
scenario_fifo-none_25,1,2,4,30,10,10,10,1.0,fibonacci,5000,0.25,fifo,none
scenario_fifo-none_26,0,1,8,30,10,1,100,6.0,hydrolakes,1000,0.3333333333333333,fifo,none
scenario_fifo-none_27,0,1,8,30,10,10,10,0.25,uniform,5000,0.25,fifo,none
scenario_fifo-none_28,2,3,4,30,1,10,100,3.0,hydrolakes,1000,0.2,fifo,none
scenario_fifo-none_29,3,8,3,60,1,1,100,0.25,fibonacci,1000,0.3333333333333333,fifo,none
scenario_fifo-none_30,1,2,4,60,1,10,10,3.0,fibonacci,5000,0.3333333333333333,fifo,none
scenario_fifo-none_31,2,3,4,30,10,10,100,1.0,uniform,100,0.2,fifo,none
scenario_fifo-none_32,1,2,4,60,1,10,100,6.0,fibonacci,100,0.25,fifo,none
scenario_fifo-none_33,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,fifo,none
scenario_fifo-none_34,2,3,4,60,1,10,1000,1.0,hydrolakes,5000,0.5,fifo,none
scenario_fifo-none_35,3,8,3,30,1,1,10000,3.0,hydrolakes,5000,0.5,fifo,none
scenario_fifo-none_36,0,1,8,30,1,1,10,6.0,hydrolakes,5000,0.2,fifo,none
scenario_fifo-none_37,1,2,4,60,10,10,1000,6.0,uniform,1000,0.2,fifo,none
scenario_fifo-none_38,1,2,4,60,10,10,100,6.0,uniform,100,0.5,fifo,none
scenario_fifo-none_39,3,8,3,30,10,10,100,1.0,hydrolakes,1000,0.2,fifo,none
scenario_fifo-none_40,2,3,4,30,10,10,100,3.0,uniform,5000,0.5,fifo,none
scenario_fifo-none_41,2,3,4,60,1,10,10000,0.25,uniform,5000,0.5,fifo,none
scenario_fifo-none_42,0,1,8,60,1,1,10,0.25,fibonacci,100,1.0,fifo,none
scenario_fifo-none_43,3,8,3,30,10,10,10,1.0,hydrolakes,5000,1.0,fifo,none
scenario_fifo-none_44,0,1,8,30,1,10,10,1.0,fibonacci,10000,1.0,fifo,none
scenario_fifo-none_45,2,3,4,30,10,10,1000,0.25,hydrolakes,1000,0.2,fifo,none
scenario_fifo-none_46,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,fifo,none
scenario_nadir-acbba_0,0,1,8,30,10,10,1000,6.0,uniform,10000,0.2,nadir,acbba
scenario_nadir-acbba_1,0,1,8,30,1,10,10,3.0,fibonacci,5000,0.5,nadir,acbba
scenario_nadir-acbba_2,2,3,4,60,1,10,10,3.0,fibonacci,100,1.0,nadir,acbba
scenario_nadir-acbba_3,1,2,4,30,1,1,1000,1.0,fibonacci,10000,0.5,nadir,acbba
scenario_nadir-acbba_4,3,8,3,30,1,1,1000,1.0,uniform,10000,0.25,nadir,acbba
scenario_nadir-acbba_5,1,2,4,30,10,1,10,0.25,hydrolakes,100,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_6,0,1,8,60,10,1,100,1.0,fibonacci,5000,0.2,nadir,acbba
scenario_nadir-acbba_7,3,8,3,60,1,1,1000,1.0,hydrolakes,1000,0.2,nadir,acbba
scenario_nadir-acbba_8,2,3,4,30,10,1,100,6.0,uniform,1000,0.5,nadir,acbba
scenario_nadir-acbba_9,2,3,4,60,1,1,10000,1.0,uniform,1000,0.25,nadir,acbba
scenario_nadir-acbba_10,0,1,8,60,1,10,10,6.0,uniform,1000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_11,2,3,4,30,1,10,10,6.0,uniform,5000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_12,0,1,8,60,1,1,10000,3.0,hydrolakes,5000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_13,0,1,8,60,10,1,100,3.0,fibonacci,10000,0.2,nadir,acbba
scenario_nadir-acbba_14,1,2,4,60,10,1,10,0.25,hydrolakes,100,1.0,nadir,acbba
scenario_nadir-acbba_15,2,3,4,30,1,1,10,6.0,uniform,1000,0.2,nadir,acbba
scenario_nadir-acbba_16,3,8,3,60,10,10,100,1.0,uniform,5000,1.0,nadir,acbba
scenario_nadir-acbba_17,2,3,4,60,1,10,1000,1.0,uniform,5000,0.25,nadir,acbba
scenario_nadir-acbba_18,2,3,4,30,1,10,10000,0.25,uniform,10000,0.25,nadir,acbba
scenario_nadir-acbba_19,3,8,3,30,10,1,10000,0.25,fibonacci,10000,0.2,nadir,acbba
scenario_nadir-acbba_20,2,3,4,30,10,1,1000,0.25,fibonacci,10000,0.25,nadir,acbba
scenario_nadir-acbba_21,1,2,4,30,10,10,10000,1.0,hydrolakes,1000,1.0,nadir,acbba
scenario_nadir-acbba_22,1,2,4,30,10,1,10,0.25,uniform,10000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_23,1,2,4,60,1,10,1000,1.0,fibonacci,10000,0.25,nadir,acbba
scenario_nadir-acbba_24,3,8,3,60,10,1,1000,3.0,fibonacci,10000,0.5,nadir,acbba
scenario_nadir-acbba_25,1,2,4,30,10,10,10,1.0,fibonacci,5000,0.25,nadir,acbba
scenario_nadir-acbba_26,0,1,8,30,10,1,100,6.0,hydrolakes,1000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_27,0,1,8,30,10,10,10,0.25,uniform,5000,0.25,nadir,acbba
scenario_nadir-acbba_28,2,3,4,30,1,10,100,3.0,hydrolakes,1000,0.2,nadir,acbba
scenario_nadir-acbba_29,3,8,3,60,1,1,100,0.25,fibonacci,1000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_30,1,2,4,60,1,10,10,3.0,fibonacci,5000,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_31,2,3,4,30,10,10,100,1.0,uniform,100,0.2,nadir,acbba
scenario_nadir-acbba_32,1,2,4,60,1,10,100,6.0,fibonacci,100,0.25,nadir,acbba
scenario_nadir-acbba_33,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,nadir,acbba
scenario_nadir-acbba_34,2,3,4,60,1,10,1000,1.0,hydrolakes,5000,0.5,nadir,acbba
scenario_nadir-acbba_35,3,8,3,30,1,1,10000,3.0,hydrolakes,5000,0.5,nadir,acbba
scenario_nadir-acbba_36,0,1,8,30,1,1,10,6.0,hydrolakes,5000,0.2,nadir,acbba
scenario_nadir-acbba_37,1,2,4,60,10,10,1000,6.0,uniform,1000,0.2,nadir,acbba
scenario_nadir-acbba_38,1,2,4,60,10,10,100,6.0,uniform,100,0.5,nadir,acbba
scenario_nadir-acbba_39,3,8,3,30,10,10,100,1.0,hydrolakes,1000,0.2,nadir,acbba
scenario_nadir-acbba_40,2,3,4,30,10,10,100,3.0,uniform,5000,0.5,nadir,acbba
scenario_nadir-acbba_41,2,3,4,60,1,10,10000,0.25,uniform,5000,0.5,nadir,acbba
scenario_nadir-acbba_42,0,1,8,60,1,1,10,0.25,fibonacci,100,1.0,nadir,acbba
scenario_nadir-acbba_43,3,8,3,30,10,10,10,1.0,hydrolakes,5000,1.0,nadir,acbba
scenario_nadir-acbba_44,0,1,8,30,1,10,10,1.0,fibonacci,10000,1.0,nadir,acbba
scenario_nadir-acbba_45,2,3,4,30,10,10,1000,0.25,hydrolakes,1000,0.2,nadir,acbba
scenario_nadir-acbba_46,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,nadir,acbba
scenario_nadir-none_0,0,1,8,30,10,10,1000,6.0,uniform,10000,0.2,nadir,none
scenario_nadir-none_1,0,1,8,30,1,10,10,3.0,fibonacci,5000,0.5,nadir,none
scenario_nadir-none_2,2,3,4,60,1,10,10,3.0,fibonacci,100,1.0,nadir,none
scenario_nadir-none_3,1,2,4,30,1,1,1000,1.0,fibonacci,10000,0.5,nadir,none
scenario_nadir-none_4,3,8,3,30,1,1,1000,1.0,uniform,10000,0.25,nadir,none
scenario_nadir-none_5,1,2,4,30,10,1,10,0.25,hydrolakes,100,0.3333333333333333,nadir,none
scenario_nadir-none_6,0,1,8,60,10,1,100,1.0,fibonacci,5000,0.2,nadir,none
scenario_nadir-none_7,3,8,3,60,1,1,1000,1.0,hydrolakes,1000,0.2,nadir,none
scenario_nadir-none_8,2,3,4,30,10,1,100,6.0,uniform,1000,0.5,nadir,none
scenario_nadir-none_9,2,3,4,60,1,1,10000,1.0,uniform,1000,0.25,nadir,none
scenario_nadir-none_10,0,1,8,60,1,10,10,6.0,uniform,1000,0.3333333333333333,nadir,none
scenario_nadir-none_11,2,3,4,30,1,10,10,6.0,uniform,5000,0.3333333333333333,nadir,none
scenario_nadir-none_12,0,1,8,60,1,1,10000,3.0,hydrolakes,5000,0.3333333333333333,nadir,none
scenario_nadir-none_13,0,1,8,60,10,1,100,3.0,fibonacci,10000,0.2,nadir,none
scenario_nadir-none_14,1,2,4,60,10,1,10,0.25,hydrolakes,100,1.0,nadir,none
scenario_nadir-none_15,2,3,4,30,1,1,10,6.0,uniform,1000,0.2,nadir,none
scenario_nadir-none_16,3,8,3,60,10,10,100,1.0,uniform,5000,1.0,nadir,none
scenario_nadir-none_17,2,3,4,60,1,10,1000,1.0,uniform,5000,0.25,nadir,none
scenario_nadir-none_18,2,3,4,30,1,10,10000,0.25,uniform,10000,0.25,nadir,none
scenario_nadir-none_19,3,8,3,30,10,1,10000,0.25,fibonacci,10000,0.2,nadir,none
scenario_nadir-none_20,2,3,4,30,10,1,1000,0.25,fibonacci,10000,0.25,nadir,none
scenario_nadir-none_21,1,2,4,30,10,10,10000,1.0,hydrolakes,1000,1.0,nadir,none
scenario_nadir-none_22,1,2,4,30,10,1,10,0.25,uniform,10000,0.3333333333333333,nadir,none
scenario_nadir-none_23,1,2,4,60,1,10,1000,1.0,fibonacci,10000,0.25,nadir,none
scenario_nadir-none_24,3,8,3,60,10,1,1000,3.0,fibonacci,10000,0.5,nadir,none
scenario_nadir-none_25,1,2,4,30,10,10,10,1.0,fibonacci,5000,0.25,nadir,none
scenario_nadir-none_26,0,1,8,30,10,1,100,6.0,hydrolakes,1000,0.3333333333333333,nadir,none
scenario_nadir-none_27,0,1,8,30,10,10,10,0.25,uniform,5000,0.25,nadir,none
scenario_nadir-none_28,2,3,4,30,1,10,100,3.0,hydrolakes,1000,0.2,nadir,none
scenario_nadir-none_29,3,8,3,60,1,1,100,0.25,fibonacci,1000,0.3333333333333333,nadir,none
scenario_nadir-none_30,1,2,4,60,1,10,10,3.0,fibonacci,5000,0.3333333333333333,nadir,none
scenario_nadir-none_31,2,3,4,30,10,10,100,1.0,uniform,100,0.2,nadir,none
scenario_nadir-none_32,1,2,4,60,1,10,100,6.0,fibonacci,100,0.25,nadir,none
scenario_nadir-none_33,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,nadir,none
scenario_nadir-none_34,2,3,4,60,1,10,1000,1.0,hydrolakes,5000,0.5,nadir,none
scenario_nadir-none_35,3,8,3,30,1,1,10000,3.0,hydrolakes,5000,0.5,nadir,none
scenario_nadir-none_36,0,1,8,30,1,1,10,6.0,hydrolakes,5000,0.2,nadir,none
scenario_nadir-none_37,1,2,4,60,10,10,1000,6.0,uniform,1000,0.2,nadir,none
scenario_nadir-none_38,1,2,4,60,10,10,100,6.0,uniform,100,0.5,nadir,none
scenario_nadir-none_39,3,8,3,30,10,10,100,1.0,hydrolakes,1000,0.2,nadir,none
scenario_nadir-none_40,2,3,4,30,10,10,100,3.0,uniform,5000,0.5,nadir,none
scenario_nadir-none_41,2,3,4,60,1,10,10000,0.25,uniform,5000,0.5,nadir,none
scenario_nadir-none_42,0,1,8,60,1,1,10,0.25,fibonacci,100,1.0,nadir,none
scenario_nadir-none_43,3,8,3,30,10,10,10,1.0,hydrolakes,5000,1.0,nadir,none
scenario_nadir-none_44,0,1,8,30,1,10,10,1.0,fibonacci,10000,1.0,nadir,none
scenario_nadir-none_45,2,3,4,30,10,10,1000,0.25,hydrolakes,1000,0.2,nadir,none
scenario_nadir-none_46,1,2,4,60,10,1,100,0.25,fibonacci,100,0.3333333333333333,nadir,none
