Name,Constellation,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs),Grid Type,Number of Ground-Points,Preplanner,Percent Ground-Points Considered
experiment_23,2,3,4,30,10,10,10,0.25,fibonacci,5000,nadir,0.2
experiment_25,0,1,8,60,1,1,10000,1.0,fibonacci,1000,nadir,0.2
experiment_26,2,3,4,60,10,1,100,1.0,fibonacci,10000,fifo,0.2
experiment_28,0,1,8,30,1,1,10000,3.0,uniform,5000,nadir,0.2
experiment_29,1,2,4,30,10,1,10,6.0,hydrolakes,100,fifo,0.7
experiment_30,3,8,3,30,10,10,10000,0.25,hydrolakes,5000,nadir,0.5
experiment_31,1,2,4,60,1,10,100,0.25,uniform,1000,fifo,0.9
experiment_32,1,2,4,60,10,1,1000,6.0,fibonacci,1000,nadir,0.3
experiment_33,0,1,8,60,10,1,100,6.0,hydrolakes,1000,fifo,0.3
experiment_35,3,8,3,60,1,10,10000,0.25,hydrolakes,1000,fifo,0.3
experiment_36,2,3,4,30,10,1,10,6.0,hydrolakes,100,nadir,0.5
experiment_37,0,1,8,60,5,10,100,3.0,uniform,5000,fifo,0.5
experiment_38,2,3,4,60,1,10,1000,1.0,fibonacci,10000,fifo,0.4
experiment_39,1,2,4,60,5,10,10,1.0,uniform,100,nadir,0.5
experiment_40,2,3,4,60,10,10,10000,0.25,uniform,1000,fifo,0.1
experiment_41,3,8,3,30,10,1,10,3.0,uniform,10000,nadir,0.2
experiment_42,3,8,3,30,1,10,100,1.0,uniform,100,fifo,0.4
experiment_43,1,2,4,60,1,1,1000,3.0,fibonacci,5000,nadir,0.4
experiment_44,1,2,4,30,1,10,10000,1.0,uniform,5000,fifo,0.7
experiment_47,1,2,4,60,5,10,1000,1.0,uniform,100,fifo,0.8
experiment_49,0,1,8,60,1,1,1000,1.0,uniform,1000,fifo,0.6
experiment_50,2,3,4,60,1,1,100,0.25,hydrolakes,1000,fifo,0.1
experiment_51,3,8,3,60,1,1,100,1.0,uniform,10000,nadir,0.4
experiment_52,3,8,3,30,10,1,10,0.25,fibonacci,10000,fifo,0.8
experiment_53,3,8,3,60,10,10,1000,1.0,uniform,10000,fifo,0.6
experiment_54,0,1,8,30,10,1,1000,0.25,hydrolakes,5000,nadir,0.7
experiment_55,2,3,4,30,10,10,10,6.0,fibonacci,100,nadir,0.6
experiment_56,3,8,3,60,10,1,10,3.0,uniform,5000,nadir,0.9
experiment_57,1,2,4,30,1,10,100,3.0,uniform,10000,fifo,0.4
experiment_58,2,3,4,60,1,1,1000,0.25,uniform,5000,fifo,0.8
experiment_59,2,3,4,30,10,10,10,1.0,fibonacci,10000,nadir,0.9
experiment_61,1,2,4,60,1,1,1000,1.0,fibonacci,1000,nadir,1.0
experiment_62,0,1,8,30,5,1,10,3.0,hydrolakes,5000,nadir,0.6
experiment_63,1,2,4,60,5,10,10,3.0,hydrolakes,100,fifo,0.8
experiment_64,2,3,4,30,5,1,100,3.0,fibonacci,100,fifo,0.1
experiment_65,0,1,8,30,10,1,10,6.0,fibonacci,5000,fifo,0.9
experiment_66,1,2,4,30,10,1,10,1.0,fibonacci,1000,fifo,0.1
experiment_67,3,8,3,60,5,10,1000,0.25,uniform,5000,nadir,0.8
experiment_68,1,2,4,60,1,10,10,0.25,fibonacci,10000,nadir,0.2
experiment_69,0,1,8,60,5,1,10,3.0,uniform,10000,nadir,0.4
experiment_70,1,2,4,30,10,10,1000,1.0,hydrolakes,1000,fifo,0.1
experiment_71,2,3,4,30,10,10,10,1.0,fibonacci,1000,fifo,0.9
experiment_74,3,8,3,60,10,10,10,0.25,hydrolakes,100,nadir,0.7
experiment_75,3,8,3,60,10,1,100,6.0,hydrolakes,1000,nadir,0.1
experiment_78,3,8,3,30,10,1,10000,1.0,uniform,10000,nadir,0.8
experiment_80,2,3,4,30,1,10,10000,6.0,hydrolakes,5000,nadir,1.0
experiment_81,1,2,4,30,10,1,1000,1.0,uniform,100,fifo,0.9
experiment_82,3,8,3,60,10,1,10,0.25,hydrolakes,1000,nadir,0.3
experiment_83,1,2,4,60,10,10,10,1.0,uniform,10000,fifo,1.0
experiment_85,2,3,4,60,5,1,1000,3.0,uniform,1000,fifo,0.6
experiment_86,1,2,4,30,5,1,100,3.0,fibonacci,100,nadir,0.5
experiment_87,0,1,8,30,10,10,1000,6.0,fibonacci,5000,fifo,0.2
experiment_88,2,3,4,30,10,10,100,3.0,uniform,100,nadir,0.2
experiment_90,3,8,3,30,10,10,100,3.0,uniform,1000,nadir,0.9
experiment_91,0,1,8,30,5,10,10000,0.25,fibonacci,1000,fifo,0.3
experiment_92,2,3,4,30,5,1,10,6.0,hydrolakes,5000,nadir,1.0
experiment_93,0,1,8,30,10,1,1000,0.25,fibonacci,100,nadir,0.4
experiment_94,2,3,4,60,10,10,10,0.25,fibonacci,5000,nadir,0.1
experiment_95,2,3,4,30,10,1,1000,6.0,fibonacci,10000,nadir,0.3
experiment_98,0,1,8,60,5,1,100,6.0,uniform,5000,fifo,1.0
experiment_99,2,3,4,60,1,1,100,3.0,hydrolakes,5000,nadir,0.3
experiment_101,0,1,8,60,5,10,1000,6.0,uniform,10000,fifo,0.9
experiment_102,2,3,4,30,5,1,100,1.0,hydrolakes,5000,fifo,0.3
experiment_103,0,1,8,60,1,10,10000,6.0,uniform,10000,fifo,0.8
experiment_104,1,2,4,30,5,10,100,6.0,uniform,1000,nadir,0.9
experiment_105,3,8,3,30,5,10,100,3.0,fibonacci,5000,fifo,0.3
experiment_106,0,1,8,60,1,10,1000,0.25,uniform,5000,fifo,0.5
experiment_107,2,3,4,30,5,10,100,3.0,uniform,100,fifo,0.4
experiment_108,0,1,8,30,10,1,10000,3.0,uniform,10000,fifo,1.0
experiment_109,3,8,3,60,5,10,1000,0.25,fibonacci,10000,fifo,0.3
experiment_110,0,1,8,60,1,1,10000,3.0,fibonacci,10000,nadir,0.4
experiment_111,1,2,4,60,1,10,1000,3.0,fibonacci,10000,fifo,0.3
experiment_112,3,8,3,60,1,10,10,0.25,fibonacci,5000,fifo,0.1
experiment_115,1,2,4,30,1,10,1000,6.0,fibonacci,1000,nadir,0.9
experiment_116,2,3,4,60,5,10,100,3.0,fibonacci,5000,fifo,0.9
experiment_118,1,2,4,60,1,10,100,1.0,hydrolakes,100,nadir,0.5
experiment_119,0,1,8,60,1,1,10,6.0,uniform,100,fifo,0.9
